fips_code,age_group,population
2090,5-11,9270
2090,12-15,4670
2090,16-17,2195
2090,18-24,13283
2090,25-39,25149
2090,40-49,10660
2090,50-64,16338
2090,65-74,6811
2090,75-99,2888
2100,0-4,185
2100,5-11,277
2100,12-15,140
2100,16-17,41
2100,18-24,26
2100,25-39,441
2100,40-49,291
2100,50-64,485
2100,65-74,530
2100,75-99,103
2105,0-4,90
2105,5-11,143
2105,12-15,66
2105,16-17,23
2105,18-24,106
2105,25-39,381
2105,40-49,269
2105,50-64,622
2105,65-74,323
2105,75-99,116
2110,0-4,1875
2110,5-11,2755
2110,12-15,1508
2110,16-17,806
2110,18-24,2722
2110,25-39,7449
2110,40-49,3925
2110,50-64,7148
2110,65-74,2846
2110,75-99,1193
2122,0-4,3592
2122,5-11,5101
2122,12-15,3040
2122,16-17,1513
2122,18-24,4566
2122,25-39,10904
2122,40-49,6878
2122,50-64,13238
2122,65-74,6600
2122,75-99,3031
2130,0-4,797
2130,5-11,1195
2130,12-15,679
2130,16-17,361
2130,18-24,1125
2130,25-39,2810
2130,40-49,1661
2130,50-64,3121
2130,65-74,1363
2130,75-99,687
2150,0-4,991
2150,5-11,1477
2150,12-15,634
2150,16-17,359
2150,18-24,1056
2150,25-39,3398
2150,40-49,1668
2150,50-64,2549
2150,65-74,948
2150,75-99,371
2158,0-4,1076
2158,5-11,1237
2158,12-15,708
2158,16-17,309
2158,18-24,910
2158,25-39,1730
2158,40-49,654
2158,50-64,1172
2158,65-74,312
2158,75-99,142
2164,0-4,87
2164,5-11,124
2164,12-15,74
2164,16-17,38
2164,18-24,152
2164,25-39,320
2164,40-49,193
2164,50-64,296
2164,65-74,62
2164,75-99,47
2170,0-4,7517
2170,5-11,11192
2170,12-15,6537
2170,16-17,3151
2170,18-24,8787
2170,25-39,22757
2170,40-49,12809
2170,50-64,20681
2170,65-74,8213
2170,75-99,3726
2180,0-4,987
2180,5-11,1380
2180,12-15,739
2180,16-17,329
2180,18-24,1034
2180,25-39,2090
2180,40-49,1076
2180,50-64,1652
2180,65-74,493
2180,75-99,209
2185,0-4,793
2185,5-11,997
2185,12-15,512
2185,16-17,261
2185,18-24,724
2185,25-39,2324
2185,40-49,1285
2185,50-64,2225
2185,65-74,491
2185,75-99,180
2188,0-4,818
2188,5-11,1088
2188,12-15,568
2188,16-17,245
2188,18-24,786
2188,25-39,1667
2188,40-49,760
2188,50-64,1207
2188,65-74,360
2188,75-99,215
2195,0-4,209
2195,5-11,241
2195,12-15,128
2195,16-17,71
2195,18-24,413
2195,25-39,482
2195,40-49,369
2195,50-64,627
2195,65-74,466
2195,75-99,251
2198,0-4,380
2198,5-11,609
2198,12-15,354
2198,16-17,158
2198,18-24,449
2198,25-39,1122
2198,40-49,735
2198,50-64,1573
2198,65-74,734
2198,75-99,293
2220,0-4,383
2220,5-11,817
2220,12-15,461
2220,16-17,216
2220,18-24,617
2220,25-39,1893
2220,40-49,1090
2220,50-64,1853
2220,65-74,781
2220,75-99,529
2230,0-4,61
2230,5-11,51
2230,12-15,27
2230,16-17,21
2230,18-24,81
2230,25-39,295
2230,40-49,170
2230,50-64,272
2230,65-74,90
2230,75-99,40
2240,0-4,517
2240,5-11,749
2240,12-15,413
2240,16-17,185
2240,18-24,496
2240,25-39,1340
2240,40-49,849
2240,50-64,1391
2240,65-74,644
2240,75-99,294
2261,0-4,584
2261,5-11,915
2261,12-15,451
2261,16-17,206
2261,18-24,607
2261,25-39,2037
2261,40-49,1141
2261,50-64,2168
2261,65-74,892
2261,75-99,242
